<NB_CUSTOMERS>15</NB_CUSTOMERS>
<NB_LOCATIONS>52</NB_LOCATIONS>
<NB_VEHICLES>6</NB_VEHICLES>
<VEHICLE_CAPACITY>750</VEHICLE_CAPACITY>
<EXTERNAL_VEHICLE_COST>4600</EXTERNAL_VEHICLE_COST>
<DEPOT>	ID	DEMAND	NBLOC	LOCS
0	0	1		0
</DEPOT>
<CUSTOMERS>	ID	DEMAND	NBLOC	LOCS
1	49	5			1	2	3	4	5
2	45	4			6	7	8	9
3	39	3			10	11	12
4	67	5			13	14	15	16	17
5	71	3			18	19	20
6	38	4			21	22	23	24
7	34	1			25
8	32	1			26
9	57	6			27	28	29	30	31	32
10	63	5			33	34	35	36	37
11	66	3			38	39	40
12	64	4			41	42	43	44
13	73	1			45
14	68	5			46	47	48	49	50
15	80	1			51
</CUSTOMERS>
<LOCATIONS>	ID	x	y	TWE	TWL
0	0	0	0	720
1	140.72	-102.863	0	12
2	95.0074	-110.031	105	123
3	113.528	-29.2959	289	302
4	87.0816	-131.482	513	523
5	140.72	-102.863	645	720
6	-82.4859	-80.7322	0	28
7	-104.707	-51.3835	102	162
8	-175.482	-38.3027	306	500
9	-82.4859	-80.7322	704	720
10	-71.3361	122.888	0	65
11	-75.1263	108.605	95	377
12	-71.3361	122.888	407	720
13	3.65703	29.4984	0	205
14	-6.29079	54.0633	258	345
15	-29.2116	91.7788	433	453
16	9.49443	16.0194	623	627
17	3.65703	29.4984	656	720
18	94.0166	50.3501	0	456
19	95.482	55.4551	467	498
20	94.0166	50.3501	509	720
21	82.5238	-110.937	0	1
22	60.0503	-116.079	47	74
23	-30.2055	-108.005	255	431
24	82.5238	-110.937	657	720
25	150.665	-54.2295	0	720
26	0.648253	153.511	0	720
27	-64.8253	-17.9971	0	99
28	-100.497	-30.6714	175	231
29	-31.1007	-20.5295	371	388
30	-54.0095	-12.2732	437	489
31	-56.195	-2.00704	510	550
32	-64.8253	-17.9971	586	720
33	-22.0409	-36.2072	0	9
34	-44.7023	-27.6523	57	235
35	-55.2926	-25.9334	256	287
36	0.49773	-49.7347	408	607
37	-22.0409	-36.2072	660	720
38	-0.86591	-13.0035	0	9
39	-25.9258	139.263	318	347
40	-0.86591	-13.0035	656	720
41	11.3729	-25.9663	0	80
42	10.4121	-29.1374	87	260
43	-3.63397	-35.3267	291	384
44	11.3729	-25.9663	419	720
45	32.3154	-128.933	0	720
46	-63.4041	-139.529	0	74
47	-36.1553	-151.91	134	218
48	19.701	-150.084	330	399
49	-63.1592	-152.506	565	636
50	-63.4041	-139.529	662	720
51	-56.913	17.6238	0	720
</LOCATIONS>
<TRAVEL_COSTS_TIMES>	IDFROM	IDTO	COST	TIME
0	0	0	0
0	1	174	349
0	2	145	291
0	3	117	234
0	4	158	315
0	5	174	349
0	6	115	231
0	7	117	233
0	8	179	359
0	9	115	231
0	10	142	284
0	11	132	264
0	12	142	284
0	13	30	59
0	14	54	109
0	15	96	193
0	16	19	37
0	17	30	59
0	18	107	213
0	19	110	221
0	20	107	213
0	21	138	277
0	22	130	261
0	23	112	224
0	24	138	277
0	25	160	320
0	26	154	307
0	27	67	135
0	28	105	210
0	29	37	75
0	30	55	111
0	31	56	112
0	32	67	135
0	33	42	85
0	34	52	105
0	35	61	122
0	36	50	99
0	37	42	85
0	38	13	26
0	39	141	283
0	40	13	26
0	41	28	57
0	42	31	62
0	43	35	71
0	44	28	57
0	45	133	266
0	46	153	307
0	47	156	312
0	48	151	303
0	49	165	330
0	50	153	307
0	51	60	119
1	0	174	349
1	1	0	0
1	2	46	93
1	3	78	157
1	4	61	122
1	5	0	0
1	6	224	449
1	7	251	502
1	8	323	645
1	9	224	449
1	10	310	619
1	11	302	604
1	12	310	619
1	13	191	381
1	14	215	430
1	15	258	517
1	16	177	354
1	17	191	381
1	18	160	320
1	19	165	329
1	20	160	320
1	21	59	118
1	22	81	163
1	23	171	342
1	24	59	118
1	25	50	99
1	26	292	584
1	27	222	445
1	28	252	504
1	29	190	381
1	30	214	430
1	31	221	442
1	32	222	445
1	33	176	352
1	34	200	400
1	35	211	421
1	36	150	300
1	37	176	352
1	38	168	335
1	39	294	588
1	40	168	335
1	41	150	301
1	42	150	299
1	43	159	319
1	44	150	301
1	45	111	223
1	46	207	414
1	47	183	367
1	48	130	260
1	49	209	420
1	50	207	414
1	51	231	463
2	0	145	291
2	1	46	93
2	2	0	0
2	3	83	166
2	4	23	46
2	5	46	93
2	6	180	360
2	7	208	416
2	8	280	560
2	9	180	360
2	10	286	572
2	11	277	554
2	12	286	572
2	13	167	334
2	14	193	386
2	15	237	474
2	16	152	305
2	17	167	334
2	18	160	321
2	19	165	331
2	20	160	321
2	21	13	25
2	22	35	71
2	23	125	250
2	24	13	25
2	25	79	158
2	26	280	560
2	27	184	369
2	28	211	422
2	29	155	309
2	30	178	356
2	31	186	371
2	32	184	369
2	33	138	277
2	34	162	324
2	35	172	344
2	36	112	224
2	37	138	277
2	38	136	273
2	39	277	554
2	40	136	273
2	41	119	237
2	42	117	234
2	43	124	247
2	44	119	237
2	45	65	131
2	46	161	322
2	47	137	275
2	48	85	171
2	49	163	328
2	50	161	322
2	51	198	397
3	0	117	234
3	1	78	157
3	2	83	166
3	3	0	0
3	4	106	211
3	5	78	157
3	6	203	405
3	7	219	439
3	8	288	578
3	9	203	405
3	10	239	479
3	11	234	467
3	12	239	479
3	13	125	249
